filename|defect,probability
J01_2018.08.03 15_32_07.jpg|norm, 1.0
J01_2018.07.20 09_07_20.jpg|norm, 1.0
J01_2018.08.07 16_02_53.jpg|norm, 1.0
J01_2018.08.07 15_54_38.jpg|norm, 1.0
J01_2018.08.07 15_16_42.jpg|norm, 1.0
J01_2018.07.31 14_57_01.jpg|norm, 0.401431
J01_2018.08.07 15_10_59.jpg|norm, 0.866936
J01_2018.08.07 15_02_29.jpg|norm, 0.194588
J01_2018.08.07 14_48_36.jpg|norm, 1.0
J01_2018.07.31 16_34_49.jpg|norm, 1.0
J01_2018.07.31 15_45_04.jpg|norm, 1.0
J01_2018.07.20 08_51_34.jpg|norm, 0.186933
J01_2018.07.20 09_04_11.jpg|norm, 1.0
J01_2018.08.06 15_17_54.jpg|norm, 0.197575
J01_2018.08.07 15_30_41.jpg|norm, 0.736556
J01_2018.08.01 08_43_27.jpg|norm, 1.0
J01_2018.08.07 15_07_14.jpg|norm, 1.0
J01_2018.07.26 09_11_17.jpg|norm, 0.892973
J01_2018.08.01 09_04_38.jpg|norm, 1.0
J01_2018.08.06 16_07_03.jpg|norm, 0.898638
J01_2018.07.31 16_33_08.jpg|norm, 1.0
J01_2018.08.04 09_51_31.jpg|norm, 0.787413
J01_2018.07.26 08_43_33.jpg|norm, 0.896779
J01_2018.07.20 08_26_41.jpg|norm, 0.649376
J01_2018.07.26 08_45_14.jpg|norm, 0.131233
J01_2018.08.07 16_10_35.jpg|norm, 1.0
J01_2018.08.01 08_39_53.jpg|norm, 0.513471
J01_2018.08.04 09_39_41.jpg|norm, 0.308972
J01_2018.08.07 14_56_37.jpg|norm, 1.0
J01_2018.07.26 09_04_47.jpg|norm, 0.841613
J01_2018.08.04 09_55_19.jpg|norm, 1.0
J01_2018.08.06 14_48_15.jpg|norm, 0.876654
J01_2018.07.20 09_03_54.jpg|norm, 0.091791
J01_2018.07.20 09_16_47.jpg|norm, 0.831894
J01_2018.08.07 15_11_06.jpg|norm, 1.0
J01_2018.07.20 08_57_47.jpg|norm, 0.090603
J01_2018.08.01 08_56_00.jpg|norm, 0.532467
J01_2018.08.08 10_08_22.jpg|norm, 0.179069
J01_2018.08.04 10_19_04.jpg|norm, 0.689926
J01_2018.08.07 16_05_32.jpg|norm, 0.176741
J01_2018.07.26 09_13_17.jpg|norm, 1.0
J01_2018.07.26 09_29_27.jpg|norm, 0.870997
J01_2018.08.01 09_05_08.jpg|norm, 0.393314
J01_2018.07.31 16_30_11.jpg|norm, 1.0
J01_2018.07.31 15_33_01.jpg|norm, 0.576964
J01_2018.08.07 14_58_42.jpg|norm, 0.55344
J01_2018.07.26 08_49_34.jpg|norm, 1.0
J01_2018.08.07 16_06_07.jpg|norm, 0.133449
J01_2018.07.26 09_21_53.jpg|norm, 0.591469
J01_2018.07.31 16_34_57.jpg|norm, 0.836071
J01_2018.08.01 09_00_42.jpg|norm, 1.0
J01_2018.08.01 08_22_27.jpg|norm, 0.535092
J01_2018.07.31 15_29_38.jpg|norm, 0.871656
J01_2018.07.31 16_39_50.jpg|norm, 0.043429
