filename|defect,probability
J01_2018.08.03 15_32_07.jpg|norm, 0.88698
J01_2018.07.20 09_07_20.jpg|norm, 1.0
J01_2018.08.07 16_02_53.jpg|norm, 1.0
J01_2018.08.07 15_54_38.jpg|norm, 1.0
J01_2018.08.07 15_16_42.jpg|norm, 1.0
J01_2018.07.31 14_57_01.jpg|norm, 0.599024
J01_2018.08.07 15_10_59.jpg|norm, 1.0
J01_2018.08.07 15_02_29.jpg|norm, 0.207985
J01_2018.08.07 14_48_36.jpg|norm, 0.862339
J01_2018.07.31 16_34_49.jpg|norm, 1.0
J01_2018.07.31 15_45_04.jpg|norm, 1.0
J01_2018.07.20 08_51_34.jpg|norm, 0.023319
J01_2018.07.20 09_04_11.jpg|norm, 0.885435
J01_2018.08.06 15_17_54.jpg|norm, 0.186204
J01_2018.08.07 15_30_41.jpg|norm, 0.519454
J01_2018.08.01 08_43_27.jpg|norm, 1.0
J01_2018.08.07 15_07_14.jpg|norm, 1.0
J01_2018.07.26 09_11_17.jpg|norm, 0.669439
J01_2018.08.01 09_04_38.jpg|norm, 1.0
J01_2018.08.06 16_07_03.jpg|norm, 1.0
J01_2018.07.31 16_33_08.jpg|norm, 1.0
J01_2018.08.04 09_51_31.jpg|norm, 0.685347
J01_2018.07.26 08_43_33.jpg|norm, 0.756077
J01_2018.07.20 08_26_41.jpg|norm, 0.56307
J01_2018.07.26 08_45_14.jpg|norm, 0.178174
J01_2018.08.07 16_10_35.jpg|norm, 1.0
J01_2018.08.01 08_39_53.jpg|norm, 0.321598
J01_2018.08.04 09_39_41.jpg|norm, 0.155629
J01_2018.08.07 14_56_37.jpg|norm, 1.0
J01_2018.07.26 09_04_47.jpg|norm, 0.885956
J01_2018.08.04 09_55_19.jpg|norm, 1.0
J01_2018.08.06 14_48_15.jpg|norm, 0.892725
J01_2018.07.20 09_03_54.jpg|norm, 0.09336
J01_2018.07.20 09_16_47.jpg|norm, 0.858492
J01_2018.08.07 15_11_06.jpg|norm, 1.0
J01_2018.07.20 08_57_47.jpg|norm, 0.100824
J01_2018.08.01 08_56_00.jpg|norm, 0.650847
J01_2018.08.08 10_08_22.jpg|norm, 0.092172
J01_2018.08.04 10_19_04.jpg|norm, 0.529154
J01_2018.08.07 16_05_32.jpg|norm, 0.020045
J01_2018.07.26 09_13_17.jpg|norm, 1.0
J01_2018.07.26 09_29_27.jpg|norm, 1.0
J01_2018.08.01 09_05_08.jpg|norm, 0.313704
J01_2018.07.31 16_30_11.jpg|norm, 1.0
J01_2018.07.31 15_33_01.jpg|norm, 0.547774
J01_2018.08.07 14_58_42.jpg|norm, 0.486347
J01_2018.07.26 08_49_34.jpg|norm, 1.0
J01_2018.08.07 16_06_07.jpg|norm, 0.400314
J01_2018.07.26 09_21_53.jpg|norm, 0.268229
J01_2018.07.31 16_34_57.jpg|norm, 0.861052
J01_2018.08.01 09_00_42.jpg|norm, 1.0
J01_2018.08.01 08_22_27.jpg|norm, 0.66587
J01_2018.07.31 15_29_38.jpg|norm, 1.0
J01_2018.07.31 16_39_50.jpg|norm, 0.059739
J01_2018.08.08 10_10_50.jpg|norm, 0.782518
J01_2018.08.08 08_36_09.jpg|norm, 0.068107
J01_2018.08.04 10_18_01.jpg|norm, 0.632879
J01_2018.08.08 09_51_43.jpg|norm, 0.117768
J01_2018.07.31 16_26_19.jpg|norm, 0.846619
J01_2018.08.06 16_20_13.jpg|norm, 0.81904
J01_2018.08.07 16_17_42.jpg|norm, 0.080195
J01_2018.08.04 09_41_31.jpg|norm, 1.0
J01_2018.07.20 08_45_18.jpg|norm, 0.18451
J01_2018.08.08 08_45_05.jpg|norm, 1.0
J01_2018.07.20 08_21_26.jpg|norm, 1.0
J01_2018.08.08 08_55_01.jpg|norm, 1.0
J01_2018.07.31 14_58_27.jpg|norm, 0.895964
J01_2018.08.06 16_01_18.jpg|norm, 0.867039
J01_2018.07.26 09_11_03.jpg|norm, 0.010227
J01_2018.08.07 15_07_12.jpg|norm, 1.0
J01_2018.08.08 09_05_35.jpg|norm, 0.596663
J01_2018.07.20 09_13_49.jpg|norm, 0.859129
J01_2018.07.26 08_44_13.jpg|norm, 0.535995
J01_2018.08.08 09_00_49.jpg|norm, 0.890289
