filename|defect,probability
J01_2018.08.03 15_32_07.jpg|norm, 1.0
J01_2018.07.20 09_07_20.jpg|norm, 1.0
J01_2018.08.07 16_02_53.jpg|norm, 1.0
J01_2018.08.07 15_54_38.jpg|norm, 0.698538
J01_2018.08.07 15_16_42.jpg|norm, 1.0
J01_2018.07.31 14_57_01.jpg|norm, 0.742467
J01_2018.08.07 15_10_59.jpg|norm, 1.0
J01_2018.08.07 15_02_29.jpg|norm, 0.225063
J01_2018.08.07 14_48_36.jpg|norm, 1.0
J01_2018.07.31 16_34_49.jpg|norm, 0.898666
J01_2018.07.31 15_45_04.jpg|norm, 1.0
J01_2018.07.20 08_51_34.jpg|norm, 0.192524
J01_2018.07.20 09_04_11.jpg|norm, 1.0
J01_2018.08.06 15_17_54.jpg|norm, 0.046224
J01_2018.08.07 15_30_41.jpg|norm, 0.655987
J01_2018.08.01 08_43_27.jpg|norm, 1.0
J01_2018.08.07 15_07_14.jpg|norm, 1.0
J01_2018.07.26 09_11_17.jpg|norm, 0.758359
J01_2018.08.01 09_04_38.jpg|norm, 1.0
J01_2018.08.06 16_07_03.jpg|norm, 0.879356
J01_2018.07.31 16_33_08.jpg|norm, 1.0
J01_2018.08.04 09_51_31.jpg|norm, 0.897137
J01_2018.07.26 08_43_33.jpg|norm, 0.890659
J01_2018.07.20 08_26_41.jpg|norm, 0.587299
J01_2018.07.26 08_45_14.jpg|norm, 0.268292
J01_2018.08.07 16_10_35.jpg|norm, 1.0
J01_2018.08.01 08_39_53.jpg|norm, 0.492792
J01_2018.08.04 09_39_41.jpg|norm, 0.405186
J01_2018.08.07 14_56_37.jpg|norm, 0.693966
J01_2018.07.26 09_04_47.jpg|norm, 0.675495
J01_2018.08.04 09_55_19.jpg|norm, 0.729204
J01_2018.08.06 14_48_15.jpg|norm, 0.894892
J01_2018.07.20 09_03_54.jpg|norm, 0.243663
J01_2018.07.20 09_16_47.jpg|norm, 0.891534
J01_2018.08.07 15_11_06.jpg|norm, 1.0
J01_2018.07.20 08_57_47.jpg|norm, 0.239403
J01_2018.08.01 08_56_00.jpg|norm, 0.457423
J01_2018.08.08 10_08_22.jpg|norm, 0.34993
J01_2018.08.04 10_19_04.jpg|norm, 0.75962
J01_2018.08.07 16_05_32.jpg|norm, 0.569193
J01_2018.07.26 09_13_17.jpg|norm, 1.0
J01_2018.07.26 09_29_27.jpg|norm, 0.612434
J01_2018.08.01 09_05_08.jpg|norm, 0.762646
J01_2018.07.31 16_30_11.jpg|norm, 1.0
J01_2018.07.31 15_33_01.jpg|norm, 0.45402
J01_2018.08.07 14_58_42.jpg|norm, 0.872114
J01_2018.07.26 08_49_34.jpg|norm, 1.0
J01_2018.08.07 16_06_07.jpg|norm, 0.491947
J01_2018.07.26 09_21_53.jpg|norm, 0.35586
J01_2018.07.31 16_34_57.jpg|norm, 1.0
J01_2018.08.01 09_00_42.jpg|norm, 1.0
J01_2018.08.01 08_22_27.jpg|norm, 0.252508
J01_2018.07.31 15_29_38.jpg|norm, 0.872934
J01_2018.07.31 16_39_50.jpg|norm, 0.057439
