filename|defect,probability
J01_2018.08.03 15_32_07.jpg|norm, 0.87
J01_2018.07.20 09_07_20.jpg|norm, 1.0
J01_2018.08.07 16_02_53.jpg|norm, 0.278
J01_2018.08.07 15_54_38.jpg|norm, 0.076
J01_2018.08.07 15_16_42.jpg|norm, 1.0
J01_2018.07.31 14_57_01.jpg|norm, 0.389
J01_2018.08.07 15_10_59.jpg|norm, 1.0
J01_2018.08.07 15_02_29.jpg|norm, 0.103
J01_2018.08.07 14_48_36.jpg|norm, 1.0
J01_2018.07.31 16_34_49.jpg|norm, 1.0
J01_2018.07.31 15_45_04.jpg|norm, 1.0
J01_2018.07.20 08_51_34.jpg|norm, 0.379
J01_2018.07.20 09_04_11.jpg|norm, 0.863
J01_2018.08.06 15_17_54.jpg|norm, 0.077
J01_2018.08.07 15_30_41.jpg|norm, 0.117
J01_2018.08.01 08_43_27.jpg|norm, 1.0
J01_2018.08.07 15_07_14.jpg|norm, 0.736
J01_2018.07.26 09_11_17.jpg|norm, 1.0
J01_2018.08.01 09_04_38.jpg|norm, 0.885
J01_2018.08.06 16_07_03.jpg|norm, 0.682
J01_2018.07.31 16_33_08.jpg|norm, 1.0
J01_2018.08.04 09_51_31.jpg|norm, 0.821
J01_2018.07.26 08_43_33.jpg|norm, 1.0
J01_2018.07.20 08_26_41.jpg|norm, 0.772
J01_2018.07.26 08_45_14.jpg|norm, 0.463
J01_2018.08.07 16_10_35.jpg|norm, 1.0
J01_2018.08.01 08_39_53.jpg|norm, 0.606
J01_2018.08.04 09_39_41.jpg|norm, 0.446
J01_2018.08.07 14_56_37.jpg|norm, 0.826
J01_2018.07.26 09_04_47.jpg|norm, 0.651
J01_2018.08.04 09_55_19.jpg|norm, 1.0
J01_2018.08.06 14_48_15.jpg|norm, 1.0
J01_2018.07.20 09_03_54.jpg|norm, 0.125
J01_2018.07.20 09_16_47.jpg|norm, 1.0
J01_2018.08.07 15_11_06.jpg|norm, 1.0
J01_2018.07.20 08_57_47.jpg|norm, 0.565
J01_2018.08.01 08_56_00.jpg|norm, 0.52
J01_2018.08.08 10_08_22.jpg|norm, 0.135
J01_2018.08.04 10_19_04.jpg|norm, 0.071
J01_2018.08.07 16_05_32.jpg|norm, 0.346
J01_2018.07.26 09_13_17.jpg|norm, 1.0
J01_2018.07.26 09_29_27.jpg|norm, 0.878
J01_2018.08.01 09_05_08.jpg|norm, 1.0
J01_2018.07.31 16_30_11.jpg|norm, 1.0
J01_2018.07.31 15_33_01.jpg|norm, 1.0
J01_2018.08.07 14_58_42.jpg|norm, 0.752
J01_2018.07.26 08_49_34.jpg|norm, 1.0
J01_2018.08.07 16_06_07.jpg|norm, 0.544
J01_2018.07.26 09_21_53.jpg|norm, 0.788
J01_2018.07.31 16_34_57.jpg|norm, 0.75
J01_2018.08.01 09_00_42.jpg|norm, 0.086
J01_2018.08.01 08_22_27.jpg|norm, 0.488
J01_2018.07.31 15_29_38.jpg|norm, 0.685
J01_2018.07.31 16_39_50.jpg|norm, 0.017
J01_2018.08.08 10_10_50.jpg|norm, 1.0
J01_2018.08.08 08_36_09.jpg|norm, 0.058
J01_2018.08.04 10_18_01.jpg|norm, 0.549
J01_2018.08.08 09_51_43.jpg|norm, 0.846
J01_2018.07.31 16_26_19.jpg|norm, 1.0
J01_2018.08.06 16_20_13.jpg|norm, 0.894
J01_2018.08.07 16_17_42.jpg|norm, 0.422
J01_2018.08.04 09_41_31.jpg|norm, 0.807
J01_2018.07.20 08_45_18.jpg|norm, 0.766
J01_2018.08.08 08_45_05.jpg|norm, 1.0
J01_2018.07.20 08_21_26.jpg|norm, 1.0
J01_2018.08.08 08_55_01.jpg|norm, 0.463
J01_2018.07.31 14_58_27.jpg|norm, 0.632
