filename|defect,probability
J01_2018.06.25 14_12_00.jpg|norm, 0.049376
J01_2018.06.26 13_31_52.jpg|norm, 0.335182
J01_2018.06.26 08_49_01.jpg|norm, 0.715549
J01_2018.06.17 13_14_58.jpg|norm, 0.391098
J01_2018.06.28 13_57_12.jpg|norm, 0.029554
J01_2018.06.26 14_31_19.jpg|norm, 0.444992
J01_2018.06.13 14_43_45.jpg|norm, 0.298509
J01_2018.06.16 09_41_37.jpg|norm, 0.01882
J01_2018.06.19 15_07_44.jpg|norm, 0.358696
J01_2018.06.17 09_19_54.jpg|norm, 0.462425
J01_2018.06.25 15_42_50.jpg|norm, 0.262939
J01_2018.06.26 09_42_56.jpg|norm, 0.336081
J01_2018.06.19 09_35_13.jpg|norm, 0.159436
J01_2018.06.23 09_53_23.jpg|norm, 0.02729
J01_2018.06.26 15_57_32.jpg|norm, 0.666871
J01_2018.06.13 13_59_11.jpg|norm, 0.119647
J01_2018.06.28 15_35_37.jpg|norm, 0.043136
J01_2018.06.25 14_26_12.jpg|norm, 0.261618
J01_2018.06.26 14_16_28.jpg|norm, 0.23226
J01_2018.06.23 09_33_54.jpg|norm, 0.606696
J01_2018.06.19 08_39_50.jpg|norm, 0.335169
J01_2018.06.27 15_14_11.jpg|norm, 0.478143
J01_2018.06.27 13_49_07.jpg|norm, 0.670794
J01_2018.06.28 15_31_20.jpg|norm, 0.146455
J01_2018.06.17 14_25_15.jpg|norm, 0.474961
J01_2018.06.28 14_17_39.jpg|norm, 0.265622
J01_2018.06.27 09_32_49.jpg|norm, 0.648693
J01_2018.06.26 09_29_59.jpg|norm, 0.377153
J01_2018.06.26 15_18_18.jpg|norm, 0.533973
J01_2018.06.25 13_13_29.jpg|norm, 0.347591
J01_2018.06.19 13_43_40.jpg|norm, 0.123032
J01_2018.06.23 13_43_45.jpg|norm, 0.341416
J01_2018.06.25 14_02_39.jpg|norm, 0.513381
J01_2018.06.27 14_57_51.jpg|norm, 0.282657
J01_2018.06.27 14_43_00.jpg|norm, 0.416945
J01_2018.06.22 14_05_45.jpg|norm, 0.075343
