filename|defect,probability
J01_2018.06.27 15_18_12.jpg|norm, 0.050231
J01_2018.06.27 15_18_12.jpg|defect_1, 0.093578
J01_2018.06.27 15_18_12.jpg|defect_2, 0.121375
J01_2018.06.27 15_18_12.jpg|defect_3, 0.849813
J01_2018.06.27 15_18_12.jpg|defect_4, 0.210244
J01_2018.06.27 15_18_12.jpg|defect_5, 0.157662
J01_2018.06.27 15_18_12.jpg|defect_6, 0.112937
J01_2018.06.27 15_18_12.jpg|defect_7, 0.081704
J01_2018.06.27 15_18_12.jpg|defect_8, 0.092964
J01_2018.06.27 15_18_12.jpg|defect_9, 0.039676
J01_2018.06.27 15_18_12.jpg|defect_10, 0.11029
J01_2018.06.13 13_41_53.jpg|norm, 0.407425
J01_2018.06.13 13_41_53.jpg|defect_1, 0.024661
J01_2018.06.13 13_41_53.jpg|defect_2, 0.038286
J01_2018.06.13 13_41_53.jpg|defect_3, 0.041575
J01_2018.06.13 13_41_53.jpg|defect_4, 0.033032
J01_2018.06.13 13_41_53.jpg|defect_5, 0.122645
J01_2018.06.13 13_41_53.jpg|defect_6, 0.113041
J01_2018.06.13 13_41_53.jpg|defect_7, 0.081003
J01_2018.06.13 13_41_53.jpg|defect_8, 0.213541
J01_2018.06.13 13_41_53.jpg|defect_9, 0.044939
J01_2018.06.13 13_41_53.jpg|defect_10, 0.127478
J01_2018.06.25 14_17_54.jpg|norm, 0.283483
J01_2018.06.25 14_17_54.jpg|defect_1, 0.041127
J01_2018.06.25 14_17_54.jpg|defect_2, 0.031378
J01_2018.06.25 14_17_54.jpg|defect_3, 0.090525
J01_2018.06.25 14_17_54.jpg|defect_4, 0.020271
J01_2018.06.25 14_17_54.jpg|defect_5, 0.172285
J01_2018.06.25 14_17_54.jpg|defect_6, 0.319165
J01_2018.06.25 14_17_54.jpg|defect_7, 0.15476
J01_2018.06.25 14_17_54.jpg|defect_8, 0.136439
J01_2018.06.25 14_17_54.jpg|defect_9, 0.047663
J01_2018.06.25 14_17_54.jpg|defect_10, 0.125561
J01_2018.06.17 13_12_07.jpg|norm, 0.47265
J01_2018.06.17 13_12_07.jpg|defect_1, 0.031206
J01_2018.06.17 13_12_07.jpg|defect_2, 0.0
J01_2018.06.17 13_12_07.jpg|defect_3, 0.042972
J01_2018.06.17 13_12_07.jpg|defect_4, 0.012955
J01_2018.06.17 13_12_07.jpg|defect_5, 0.088091
J01_2018.06.17 13_12_07.jpg|defect_6, 0.083678
J01_2018.06.17 13_12_07.jpg|defect_7, 0.07082
J01_2018.06.17 13_12_07.jpg|defect_8, 0.094632
J01_2018.06.17 13_12_07.jpg|defect_9, 0.046313
J01_2018.06.17 13_12_07.jpg|defect_10, 0.2296
J01_2018.06.26 13_50_58.jpg|norm, 0.414688
J01_2018.06.26 13_50_58.jpg|defect_1, 0.023922
J01_2018.06.26 13_50_58.jpg|defect_2, 0.022745
J01_2018.06.26 13_50_58.jpg|defect_3, 0.053477
J01_2018.06.26 13_50_58.jpg|defect_4, 0.025617
J01_2018.06.26 13_50_58.jpg|defect_5, 0.235428
J01_2018.06.26 13_50_58.jpg|defect_6, 0.145955
J01_2018.06.26 13_50_58.jpg|defect_7, 0.049452
J01_2018.06.26 13_50_58.jpg|defect_8, 0.098178
J01_2018.06.26 13_50_58.jpg|defect_9, 0.046908
J01_2018.06.26 13_50_58.jpg|defect_10, 0.116434
J01_2018.06.26 09_01_18.jpg|norm, 0.255529
J01_2018.06.26 09_01_18.jpg|defect_1, 0.041527
J01_2018.06.26 09_01_18.jpg|defect_2, 0.116641
J01_2018.06.26 09_01_18.jpg|defect_3, 0.105959
J01_2018.06.26 09_01_18.jpg|defect_4, 0.03762
J01_2018.06.26 09_01_18.jpg|defect_5, 0.174818
J01_2018.06.26 09_01_18.jpg|defect_6, 0.125017
J01_2018.06.26 09_01_18.jpg|defect_7, 0.035804
J01_2018.06.26 09_01_18.jpg|defect_8, 0.388941
J01_2018.06.26 09_01_18.jpg|defect_9, 0.029411
J01_2018.06.26 09_01_18.jpg|defect_10, 0.150458
J01_2018.06.27 14_17_53.jpg|norm, 0.332397
J01_2018.06.27 14_17_53.jpg|defect_1, 0.017779
J01_2018.06.27 14_17_53.jpg|defect_2, 0.034545
J01_2018.06.27 14_17_53.jpg|defect_3, 0.072984
J01_2018.06.27 14_17_53.jpg|defect_4, 0.018705
J01_2018.06.27 14_17_53.jpg|defect_5, 0.462346
J01_2018.06.27 14_17_53.jpg|defect_6, 0.059925
J01_2018.06.27 14_17_53.jpg|defect_7, 0.014967
J01_2018.06.27 14_17_53.jpg|defect_8, 0.126423
J01_2018.06.27 14_17_53.jpg|defect_9, 0.03192
J01_2018.06.27 14_17_53.jpg|defect_10, 0.084831
J01_2018.06.17 10_13_08.jpg|norm, 0.285241
J01_2018.06.17 10_13_08.jpg|defect_1, 0.048195
J01_2018.06.17 10_13_08.jpg|defect_2, 0.0
J01_2018.06.17 10_13_08.jpg|defect_3, 0.050389
J01_2018.06.17 10_13_08.jpg|defect_4, 0.017656
J01_2018.06.17 10_13_08.jpg|defect_5, 0.152616
J01_2018.06.17 10_13_08.jpg|defect_6, 0.179796
J01_2018.06.17 10_13_08.jpg|defect_7, 0.213615
J01_2018.06.17 10_13_08.jpg|defect_8, 0.220697
J01_2018.06.17 10_13_08.jpg|defect_9, 0.035832
J01_2018.06.17 10_13_08.jpg|defect_10, 0.217727
J01_2018.06.23 10_33_35.jpg|norm, 0.491797
J01_2018.06.23 10_33_35.jpg|defect_1, 0.016251
J01_2018.06.23 10_33_35.jpg|defect_2, 0.012634
J01_2018.06.23 10_33_35.jpg|defect_3, 0.046217
J01_2018.06.23 10_33_35.jpg|defect_4, 0.014823
J01_2018.06.23 10_33_35.jpg|defect_5, 0.080194
J01_2018.06.23 10_33_35.jpg|defect_6, 0.17702
J01_2018.06.23 10_33_35.jpg|defect_7, 0.069365
J01_2018.06.23 10_33_35.jpg|defect_8, 0.109155
J01_2018.06.23 10_33_35.jpg|defect_9, 0.027284
J01_2018.06.23 10_33_35.jpg|defect_10, 0.11731
J01_2018.06.26 14_54_20.jpg|norm, 0.210949
J01_2018.06.26 14_54_20.jpg|defect_1, 0.107914
J01_2018.06.26 14_54_20.jpg|defect_2, 0.039288
J01_2018.06.26 14_54_20.jpg|defect_3, 0.117897
J01_2018.06.26 14_54_20.jpg|defect_4, 0.060012
J01_2018.06.26 14_54_20.jpg|defect_5, 0.216109
J01_2018.06.26 14_54_20.jpg|defect_6, 0.263564
J01_2018.06.26 14_54_20.jpg|defect_7, 0.234331
J01_2018.06.26 14_54_20.jpg|defect_8, 0.127502
J01_2018.06.26 14_54_20.jpg|defect_9, 0.072246
J01_2018.06.26 14_54_20.jpg|defect_10, 0.170328
J01_2018.06.26 14_17_16.jpg|norm, 0.115581
J01_2018.06.26 14_17_16.jpg|defect_1, 0.091071
J01_2018.06.26 14_17_16.jpg|defect_2, 0.257519
J01_2018.06.26 14_17_16.jpg|defect_3, 0.49159
J01_2018.06.26 14_17_16.jpg|defect_4, 0.101018
J01_2018.06.26 14_17_16.jpg|defect_5, 0.178939
J01_2018.06.26 14_17_16.jpg|defect_6, 0.164279
J01_2018.06.26 14_17_16.jpg|defect_7, 0.116742
J01_2018.06.26 14_17_16.jpg|defect_8, 0.176465
J01_2018.06.26 14_17_16.jpg|defect_9, 0.079022
J01_2018.06.26 14_17_16.jpg|defect_10, 0.184824
J01_2018.06.19 14_42_59.jpg|norm, 0.031565
