filename|defect,probability
J01_2018.06.27 15_18_12.jpg|norm, 0.006488
J01_2018.06.27 15_18_12.jpg|defect_1, 0.169011
J01_2018.06.27 15_18_12.jpg|defect_2, 0.143066
J01_2018.06.27 15_18_12.jpg|defect_3, 0.961604
J01_2018.06.27 15_18_12.jpg|defect_4, 0.237697
J01_2018.06.27 15_18_12.jpg|defect_5, 0.151604
J01_2018.06.27 15_18_12.jpg|defect_6, 0.261928
J01_2018.06.27 15_18_12.jpg|defect_7, 0.1247
J01_2018.06.27 15_18_12.jpg|defect_8, 0.230555
J01_2018.06.27 15_18_12.jpg|defect_9, 0.077566
J01_2018.06.27 15_18_12.jpg|defect_10, 0.199881
J01_2018.06.27 10_06_12.jpg|norm, 0.028385
J01_2018.06.27 10_06_12.jpg|defect_1, 0.349037
J01_2018.06.27 10_06_12.jpg|defect_2, 0.171818
J01_2018.06.27 10_06_12.jpg|defect_3, 0.829324
J01_2018.06.27 10_06_12.jpg|defect_4, 0.297157
J01_2018.06.27 10_06_12.jpg|defect_5, 0.097096
J01_2018.06.27 10_06_12.jpg|defect_6, 0.122303
J01_2018.06.27 10_06_12.jpg|defect_7, 0.051962
J01_2018.06.27 10_06_12.jpg|defect_8, 0.266839
J01_2018.06.27 10_06_12.jpg|defect_9, 0.028095
J01_2018.06.27 10_06_12.jpg|defect_10, 0.180134
J01_2018.06.25 14_17_54.jpg|norm, 0.163738
J01_2018.06.25 14_17_54.jpg|defect_1, 0.022591
J01_2018.06.25 14_17_54.jpg|defect_2, 0.097307
J01_2018.06.25 14_17_54.jpg|defect_3, 0.263817
J01_2018.06.25 14_17_54.jpg|defect_4, 0.026129
J01_2018.06.25 14_17_54.jpg|defect_5, 0.202379
J01_2018.06.25 14_17_54.jpg|defect_6, 0.511688
J01_2018.06.25 14_17_54.jpg|defect_7, 0.072864
J01_2018.06.25 14_17_54.jpg|defect_8, 0.109888
J01_2018.06.25 14_17_54.jpg|defect_9, 0.071707
J01_2018.06.25 14_17_54.jpg|defect_10, 0.13248
J01_2018.06.17 13_12_07.jpg|norm, 0.328589
J01_2018.06.17 13_12_07.jpg|defect_1, 0.043333
J01_2018.06.17 13_12_07.jpg|defect_2, 0.049664
J01_2018.06.17 13_12_07.jpg|defect_3, 0.122014
J01_2018.06.17 13_12_07.jpg|defect_4, 0.078181
J01_2018.06.17 13_12_07.jpg|defect_5, 0.086714
J01_2018.06.17 13_12_07.jpg|defect_6, 0.131302
J01_2018.06.17 13_12_07.jpg|defect_7, 0.058144
J01_2018.06.17 13_12_07.jpg|defect_8, 0.099912
J01_2018.06.17 13_12_07.jpg|defect_9, 0.156535
J01_2018.06.17 13_12_07.jpg|defect_10, 0.212827
