filename|defect,probability
J01_2018.06.27 15_18_12.jpg|norm, 0.088913
J01_2018.06.27 10_06_12.jpg|norm, 0.399877
J01_2018.06.25 14_17_54.jpg|norm, 0.361538
J01_2018.06.17 13_12_07.jpg|norm, 0.445048
J01_2018.06.26 13_50_58.jpg|norm, 0.415946
J01_2018.06.26 09_01_18.jpg|norm, 0.506791
J01_2018.06.27 14_17_53.jpg|norm, 0.683219
J01_2018.06.17 10_13_08.jpg|norm, 0.490825
J01_2018.06.23 10_33_35.jpg|norm, 0.352262
J01_2018.06.26 14_54_20.jpg|norm, 0.209323
J01_2018.06.23 13_30_17.jpg|norm, 0.566399
J01_2018.06.26 14_17_16.jpg|norm, 0.139974
J01_2018.06.19 14_42_59.jpg|norm, 0.045298
J01_2018.06.27 14_55_33.jpg|norm, 0.215982
J01_2018.06.27 14_36_15.jpg|norm, 0.178568
J01_2018.06.25 14_26_01.jpg|norm, 0.024481
J01_2018.06.25 13_33_55.jpg|norm, 0.348799
J01_2018.06.27 13_45_44.jpg|norm, 0.654784
J01_2018.06.27 09_34_59.jpg|norm, 0.631016
J01_2018.06.22 16_14_49.jpg|norm, 0.247939
J01_2018.06.25 14_31_35.jpg|norm, 0.401366
J01_2018.06.26 14_03_34.jpg|norm, 0.442819
J01_2018.06.25 15_10_02.jpg|norm, 0.618302
J01_2018.06.27 14_57_51.jpg|norm, 0.382479
J01_2018.06.27 09_19_57.jpg|norm, 0.686673
J01_2018.06.22 15_57_43.jpg|norm, 0.141812
J01_2018.06.28 14_31_13.jpg|norm, 0.650038
J01_2018.06.26 10_09_09.jpg|norm, 0.567924
J01_2018.06.26 14_57_49.jpg|norm, 0.712536
J01_2018.06.22 14_38_37.jpg|norm, 0.765426
J01_2018.06.25 13_47_44.jpg|norm, 0.905012
J01_2018.06.25 08_59_48.jpg|norm, 0.569208
J01_2018.06.27 14_32_47.jpg|norm, 0.497955
J01_2018.06.26 09_32_25.jpg|norm, 0.860412
J01_2018.06.28 13_17_15.jpg|norm, 0.51396
J01_2018.06.19 14_37_01.jpg|norm, 0.324
J01_2018.06.23 08_48_37.jpg|norm, 0.741427
J01_2018.06.27 10_01_03.jpg|norm, 0.539956
J01_2018.06.25 14_08_17.jpg|norm, 0.151121
J01_2018.06.27 15_00_02.jpg|norm, 0.141979
J01_2018.06.26 10_08_56.jpg|norm, 0.553597
J01_2018.06.17 15_27_24.jpg|norm, 0.220021
J01_2018.06.17 13_14_13.jpg|norm, 0.53787
J01_2018.06.25 08_51_47.jpg|norm, 0.618428
J01_2018.06.22 10_20_35.jpg|norm, 0.283539
J01_2018.06.27 08_47_51.jpg|norm, 0.443893
J01_2018.06.27 13_25_08.jpg|norm, 0.635273
J01_2018.06.26 09_27_46.jpg|norm, 0.387842
J01_2018.06.19 08_49_03.jpg|norm, 0.440316
J01_2018.06.27 09_01_42.jpg|norm, 0.725963
J01_2018.06.26 14_02_35.jpg|norm, 0.485985
J01_2018.06.23 13_45_26.jpg|norm, 0.505831
J01_2018.06.22 16_10_36.jpg|norm, 0.04115
J01_2018.06.27 15_14_50.jpg|norm, 0.676315
J01_2018.06.22 14_44_36.jpg|norm, 0.512829
J01_2018.06.26 09_08_46.jpg|norm, 0.500531
J01_2018.06.28 15_06_39.jpg|norm, 0.469414
