name,coordinate
5cbec0b1-1b1b-4810-9872-d679ca7e6ed7.jpg,143_1_39_21;182_1_55_37;260_1_52_39;327_2_48_40;540_1_52_34;1_1_67_45;1_53_93_55;529_48_143_57;442_88_104_69;717_79_173_65;1_151_207_133;232_66_264_433;525_177_229_255;212_47_136_46;526_1_17_14;793_40_113_46;309_1_13_4;
37a35cb3-b1a2-4fac-ad75-3bc25c1d5196.jpg,312_0_44_15;361_0_62_27;497_29_84_74;611_38_84_73;611_260_172_170;
6bf70a58-6108-42fd-9b8e-cb795ab4b741.jpg,81_1_142_53;446_1_95_77;375_243_206_233;330_1_67_10;
9e3541b7-a64c-4830-9d17-a34c26826ef0.jpg,130.0_0.0_173.0_50.0;168.0_89.0_122.0_118.0;462.0_184.0_170.0_174.0;0.0_301.0_245.0_199.0;
6f18b80b-12ad-4a0f-866f-849f43afcf86.jpg,121_1_68_29;424_1_61_22;18_25_110_77;536_22_80_70;700_19_94_68;868_71_145_65;405_70_82_84;912_125_147_77;1_128_128_136;182_124_119_130;984_152_85_101;390_246_139_168;1_385_211_115;1025_358_44_114;104_242_171_153;665_303_197_193;1050_4_19_46;
db792c4c-c512-458e-9d0a-36ee6c85adcb.jpg,362.0_0.0_76.0_80.0;226.0_56.0_86.0_69.0;368.0_86.0_100.0_87.0;192.0_127.0_140.0_149.0;376.0_262.0_210.0_227.0;58.0_355.0_214.0_142.0;844.0_344.0_216.0_153.0;
b7527221-dd4b-465f-8280-7df52de96f0a.jpg,386.0_0.0_45.0_31.0;2.0_0.0_53.0_18.0;135.0_0.0_53.0_27.0;98.0_9.0_59.0_44.0;
85a4112f-e4aa-4b29-8fb5-813b9b16153b.jpg,83_0_79_15;669_0_152_20;545_78_122_92;783_114_134_113;544_252_160_181;945_381_123_113;266_183_175_160;
e41cd9df-f17d-4460-972e-075bb532b574.jpg,338_213_189_203;1_114_85_81;
880922a3-3cc1-4726-900d-48a16ae1a295.jpg,557.0_240.0_181.0_167.0;0.0_45.0_66.0_74.0;
e4960c56-73dd-4e2d-8cf4-2b37d99c4778.jpg,68_1_82_32;293_1_71_30;520_81_210_107;1_309_63_134;181_269_215_165;1_36_13_58;
0bd2413e-66f0-4ba8-8471-f8cf789cb2b4.jpg,775_26_66_64;736_250_173_153;157_28_107_63;1_62_10_39;672_1_40_10;
2a503b81-cbf0-4511-8131-bb2f94bcf11c.jpg,249_1_140_40;450_16_112_109;367_186_210_212;1036_21_33_44;1024_1_45_25;
3deaaf55-4107-4ada-a16b-1c35825611b5.jpg,263_1_53_21;209_33_101_75;348_131_170_115;218_265_182_165;1_1_79_49;337_1_71_25;655_2_28_29;1_1_22_20;
d4557cae-81c6-4c7d-890f-62aef415d2df.jpg,405_171_158_158;1_420_254_82;131_201_190_161;661_212_169_158;418_318_214_176;933_1_63_19;
03397655-8ed0-4fee-9ce7-42ebb41afe04.jpg,580_1_89_16;575_24_90_65;749_50_95_74;473_131_138_122;366_395_254_105;713_259_198_164;
75032e78-af0f-42fe-b0da-7d47927946a7.jpg,497.0_0.0_79.0_37.0;400.0_140.0_120.0_124.0;592.0_242.0_173.0_201.0;862.0_430.0_207.0_70.0;
6116a3e8-9526-492c-ad8b-0d2d0bba4ede.jpg,399.0_4.0_129.0_184.0;
cdd10499-6541-448b-8021-f919e19d7fa2.jpg,465_1_38_19;537_27_57_41;752_18_44_38;422_42_65_46;555_73_57_48;619_31_61_50;647_64_57_51;790_14_98_47;878_20_116_44;279_97_88_74;548_111_90_91;937_94_133_72;741_141_95_83;1031_172_38_66;562_280_150_156;811_297_237_199;205_12_49_36;704_4_75_28;681_1_48_15;262_1_67_18;816_1_41_13;
96d12148-bc89-4b58-a3fa-95b1de4ca8c9.jpg,126_1_45_23;436_16_60_44;179_21_72_45;207_75_77_74;452_86_82_66;1_127_57_115;510_257_148_136;1_370_82_125;289_29_169_239;541_1_50_31;600_1_86_14;408_1_52_15;253_1_52_15;183_52_68_55;930_171_138_86;1_1_30_78;528_1_17_18;
8587beec-ff52-48d1-b857-c485d8f53c51.jpg,575_61_166_87;31_70_106_98;290_112_151_117;1_136_72_249;143_290_199_175;76_1_69_52;1011_1_58_19;
c8682808-d164-4d48-936a-e4172cffcfea.jpg,320_0_55_27;378_9_77_53;221_64_106_100;408_82_106_90;136_196_146_133;400_228_131_142;29_435_225_64;
e87be195-0a5d-45a9-90ad-d2a6279e4b93.jpg,98_14_71_55;517_21_49_35;480_54_65_50;590_61_69_48;236_56_90_56;615_107_86_68;234_147_119_134;465_139_104_85;631_162_116_95;398_275_159_146;661_337_200_162;415_1_44_10;358_1_41_11;1_478_148_21;
bce1997e-87e2-411a-a79d-21a907ed14c6.jpg,281_0_75_22;581_0_59_9;563_49_97_107;734_56_96_102;856_441_189_59;184_150_180_184;436_211_165_218;714_207_168_199;
649eb05b-b485-4376-8d8e-5a0449bb6c12.jpg,213_1_72_25;315_1_104_41;522_1_59_36;854_8_125_61;58_26_128_103;384_56_95_105;898_75_134_84;1_123_78_291;304_201_160_135;354_30_88_69;1028_157_41_79;1029_45_40_65;
0a68c2d8-19aa-40f5-a281-89f71c6706f4.jpg,92.0_0.0_114.0_49.0;612.0_0.0_105.0_69.0;145.0_37.0_135.0_86.0;494.0_56.0_122.0_89.0;243.0_184.0_157.0_146.0;498.0_235.0_184.0_190.0;0.0_0.0_97.0_17.0;1039.0_127.0_28.0_65.0;
