filename,probability
J01_2018.06.13 13_22_11.jpg,0.968589
J01_2018.06.13 13_29_45.jpg,0.259924
J01_2018.06.13 13_43_25.jpg,0.79435
J01_2018.06.13 13_51_57.jpg,0.999985
J01_2018.06.13 13_54_49.jpg,0.99477
J01_2018.06.13 14_01_56.jpg,0.991352
J01_2018.06.13 14_02_18.jpg,0.938247
J01_2018.06.13 14_05_34.jpg,0.06434
J01_2018.06.13 14_09_19.jpg,0.992579
J01_2018.06.13 14_17_26.jpg,0.971399
J01_2018.06.13 14_19_08.jpg,0.375456
J01_2018.06.13 14_22_01.jpg,0.984247
J01_2018.06.13 14_24_00.jpg,0.315486
J01_2018.06.13 14_30_38.jpg,0.237109
J01_2018.06.13 14_42_59.jpg,0.974492
J01_2018.06.13 14_46_00.jpg,0.459588
J01_2018.06.16 08_46_22.jpg,0.644116
J01_2018.06.16 08_46_30.jpg,0.153935
J01_2018.06.16 08_46_42.jpg,0.196244
J01_2018.06.16 08_49_20.jpg,0.526822
J01_2018.06.16 08_49_46.jpg,0.948496
J01_2018.06.16 08_52_39.jpg,0.999774
J01_2018.06.16 08_54_19.jpg,0.917955
J01_2018.06.16 09_05_22.jpg,0.982224
J01_2018.06.16 09_05_31.jpg,0.917602
J01_2018.06.16 09_07_21.jpg,0.771436
J01_2018.06.16 09_07_42.jpg,0.958076
J01_2018.06.16 09_08_59.jpg,0.956873
J01_2018.06.16 09_23_16.jpg,0.794856
J01_2018.06.16 09_23_42.jpg,0.819513
J01_2018.06.16 09_27_21.jpg,0.987716
J01_2018.06.16 09_27_26.jpg,0.605317
J01_2018.06.16 09_30_35.jpg,0.705252
J01_2018.06.16 09_33_23.jpg,0.977115
J01_2018.06.16 09_38_47.jpg,0.242588
J01_2018.06.16 09_44_38.jpg,0.998788
J01_2018.06.16 09_54_57.jpg,0.999999
J01_2018.06.16 09_58_00.jpg,0.805317
J01_2018.06.16 10_01_14.jpg,0.901492
J01_2018.06.16 10_01_34.jpg,0.187975
J01_2018.06.16 10_04_52.jpg,0.177704
J01_2018.06.16 10_13_09.jpg,0.755342
J01_2018.06.16 10_13_29.jpg,0.0
J01_2018.06.16 10_17_26.jpg,0.716199
J01_2018.06.16 10_20_03.jpg,0.629958
J01_2018.06.16 10_22_41.jpg,0.959026
J01_2018.06.16 10_33_58.jpg,0.975729
J01_2018.06.16 10_36_00.jpg,0.929095
J01_2018.06.16 10_37_44.jpg,0.22828
J01_2018.06.16 10_44_57.jpg,0.622564
J01_2018.06.16 10_50_12.jpg,0.665446
J01_2018.06.17 08_59_16.jpg,0.882579
J01_2018.06.17 09_06_17.jpg,0.954272
J01_2018.06.17 09_13_50.jpg,0.993278
J01_2018.06.17 09_15_07.jpg,0.972146
J01_2018.06.17 09_21_10.jpg,0.931785
J01_2018.06.17 09_25_19.jpg,0.0
J01_2018.06.17 09_27_37.jpg,0.826574
J01_2018.06.17 09_31_08.jpg,0.74651
J01_2018.06.17 09_51_08.jpg,0.999574
J01_2018.06.17 09_55_43.jpg,0.972864
J01_2018.06.17 09_58_16.jpg,0.970372
J01_2018.06.17 09_58_26.jpg,0.91911
J01_2018.06.17 10_05_26.jpg,0.907131
